Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
577,577. CODA,2021,8.0,111,174000,PG-13,72.0,"When the family's fishing business is threatened, Ruby finds herself torn between pursuing her musical passion and her fear of abandoning her deaf parents.",Sian Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur"
578,578. 12 Monkeys,1995,8.0,129,659000,R,75.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt"
579,579. Magnolia,1999,8.0,188,335000,R,78.0,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",Paul Thomas Anderson,"Tom Cruise, Jason Robards, Julianne Moore"
580,580. Rain Man,1988,8.0,133,559000,R,65.0,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino"
581,581. Dances with Wolves,1990,8.0,181,298000,PG-13,72.0,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene"
582,582. Rosemary's Baby,1968,8.0,137,246000,R,96.0,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon"
583,583. Perfect Blue,1997,8.0,81,104000,Not Rated,67.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Satoshi Kon,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji"
584,584. Young Frankenstein,1974,8.0,106,174000,PG,83.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Mel Brooks,"Gene Wilder, Madeline Kahn, Marty Feldman"
585,585. Groundhog Day,1993,8.0,101,706000,PG,72.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott"
586,586. Slumdog Millionaire,2008,8.0,120,890000,R,84.0,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.","Danny Boyle, Loveleen Tandan","Dev Patel, Freida Pinto, Saurabh Shukla"
587,587. Aladdin,1992,8.0,90,482000,G,86.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin"
588,588. The Pursuit of Happyness,2006,8.0,117,582000,PG-13,64.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino,"Will Smith, Thandiwe Newton, Jaden Smith"
589,589. Beauty and the Beast,1991,8.0,84,489000,G,95.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Jesse Corti"
590,590. Dogville,2003,8.0,171,162000,R,61.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Lars von Trier,"Nicole Kidman, Paul Bettany, Lauren Bacall"
591,591. Blood Diamond,2006,8.0,143,601000,R,64.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly"
592,592. Soul,2020,8.0,100,400000,PG,83.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.","Pete Docter, Kemp Powers","Jamie Foxx, Tina Fey, Graham Norton"
593,593. Big Fish,2003,8.0,125,467000,PG-13,58.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton,"Ewan McGregor, Albert Finney, Billy Crudup"
594,594. Kill Bill: Vol. 2,2004,8.0,137,829000,R,83.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen"
595,595. The Graduate,1967,8.0,106,294000,PG,83.0,A disillusioned college graduate finds himself torn between his older lover and her daughter.,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross"
596,596. The Invisible Guest,2016,8.0,106,200000,TV-MA,,"A young businessman wakes up in a hotel room locked from the inside with the dead body of his lover next to him. He hires a prestigious lawyer, and over one night they work together to clarify what happened in a frenetic race against time.",Oriol Paulo,"Mario Casas, Ana Wagener, Jose Coronado"
597,597. Silenced,2011,8.0,125,24000,Not Rated,,"Based on real events, this film depicts the story of a school for the hearing-impaired where young deaf students were sexually assaulted by the faculty members over a long period of time.",Hwang Dong-hyuk,"Gong Yoo, Jung Yu-mi, Kim Hyeon-soo"
598,598. Stalker,1979,8.0,162,149000,Not Rated,85.0,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn"
599,599. The King's Speech,2010,8.0,118,718000,R,88.0,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter"
600,600. Secrets & Lies,1996,8.0,136,49000,R,92.0,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Mike Leigh,"Timothy Spall, Brenda Blethyn, Phyllis Logan"
601,601. Akira,1988,8.0,124,213000,R,68.0,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",Katsuhiro Ôtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama"
602,602. Dog Day Afternoon,1975,8.0,125,279000,R,86.0,"Three amateur robbers plan to hold up a Brooklyn bank. A nice, simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Sidney Lumet,"Al Pacino, John Cazale, Penelope Allen"
603,603. Butch Cassidy and the Sundance Kid,1969,8.0,110,230000,PG,66.0,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels..",George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross"
604,604. JFK,1991,8.0,189,175000,R,72.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Oliver Stone,"Kevin Costner, Gary Oldman, Jack Lemmon"
605,605. Chungking Express,1994,8.0,102,101000,PG-13,78.0,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",Wong Kar-Wai,"Brigitte Lin, Takeshi Kaneshiro, Tony Leung Chiu-wai"
606,606. The Bourne Ultimatum,2007,8.0,115,668000,PG-13,85.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen"
607,607. Planet of the Apes,1968,8.0,112,203000,G,79.0,"After being kept in hypersleep during a long expedition into deep space, an astronaut crew crash-lands in the 40th century on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.",Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter"
608,608. Persona,1966,8.0,83,135000,Not Rated,86.0,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook"
609,609. Amores Perros,2000,8.0,154,258000,R,83.0,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo"
610,610. 8½,1963,8.0,138,128000,Not Rated,93.0,A harried movie director retreats into his memories and fantasies.,Federico Fellini,"Marcello Mastroianni, Anouk Aimée, Claudia Cardinale"
611,611. Wolfwalkers,2020,8.0,103,41000,PG,87.0,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,"Tomm Moore, Ross Stewart","Honor Kneafsey, Eva Whittaker, Sean Bean"
612,612. Cinderella Man,2005,8.0,144,203000,PG-13,69.0,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world.",Ron Howard,"Russell Crowe, Renée Zellweger, Craig Bierko"
613,613. Rio Bravo,1959,8.0,141,70000,Approved,93.0,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Howard Hawks,"John Wayne, Dean Martin, Ricky Nelson"
614,614. Monty Python's Life of Brian,1979,8.0,94,427000,R,77.0,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Terry Jones,"Graham Chapman, John Cleese, Michael Palin"
615,615. Cool Hand Luke,1967,8.0,127,193000,Approved,92.0,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin"
616,616. The Last Picture Show,1971,8.0,118,54000,R,93.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd"
617,617. Fiddler on the Roof,1971,8.0,181,49000,G,67.0,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.",Norman Jewison,"Topol, Norma Crane, Leonard Frey"
618,618. Papillon,1973,8.0,151,141000,R,58.0,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.",Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman, Victor Jory"
619,619. La Dolce Vita,1960,8.0,174,81000,Not Rated,95.0,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée"
620,620. Nausicaä of the Valley of the Wind,1984,8.0,117,188000,,86.0,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda"
621,621. A Woman Under the Influence,1974,8.0,155,31000,R,88.0,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage.",John Cassavetes,"Gena Rowlands, Peter Falk, Fred Draper"
622,622. Ip Man,2008,8.0,106,237000,R,59.0,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Wilson Yip,"Donnie Yen, Simon Yam, Louis Fan"
623,623. Roman Holiday,1953,8.0,118,151000,Approved,78.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,William Wyler,"Gregory Peck, Audrey Hepburn, Eddie Albert"
624,624. Gandhi,1982,8.0,191,243000,PG,79.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi"
625,625. Castle in the Sky,1986,8.0,124,189000,PG,78.0,"Pazu's life changes when he meets Sheeta, a girl whom pirates are chasing for her crystal amulet, which has the potential to locate Laputa, a legendary castle floating in the sky.",Hayao Miyazaki,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui"
626,626. Anatomy of a Murder,1959,8.0,161,74000,Approved,95.0,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",Otto Preminger,"James Stewart, Lee Remick, Ben Gazzara"
627,627. The Celebration,1998,8.0,101,96000,R,82.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Thomas Vinterberg,"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen"
628,628. Central Station,1998,8.0,110,45000,R,80.0,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.",Walter Salles,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra"
